folder,instance_id,repo,split,lite_index,model,failed,api_ms,total_ms,input_tokens,output_tokens,total_cost_usd,num_turns,tool_calls_total,tool_Bash,tool_Edit,tool_Glob,tool_Grep,tool_Read,tool_TodoWrite,tool_Write,tool_bash
og_memory_dev,marshmallow-code__marshmallow-1343,marshmallow-code/marshmallow,dev,6,claude-haiku-4-5-20251001,0,122929,446821,282,8621,0.30202500000000004,35,34,20,5,0,0,9,0,0,0
og_memory_dev,marshmallow-code__marshmallow-1359,marshmallow-code/marshmallow,dev,5,claude-haiku-4-5-20251001,0,268498,680045,522,12946,0.4755371499999999,65,64,54,2,0,0,8,0,0,0
og_memory_dev,pvlib__pvlib-python-1072,pvlib/pvlib-python,dev,8,claude-haiku-4-5-20251001,0,156998,707316,378,13686,0.36697560000000007,47,46,30,6,0,0,10,0,0,0
og_memory_dev,pvlib__pvlib-python-1154,pvlib/pvlib-python,dev,11,claude-haiku-4-5-20251001,0,411804,1224096,586,20923,0.6077506500000003,73,72,47,10,0,0,15,0,0,0
og_memory_dev,pvlib__pvlib-python-1606,pvlib/pvlib-python,dev,9,claude-haiku-4-5-20251001,0,160099,745108,386,13275,0.3660141,48,47,31,4,0,0,11,0,0,0
og_memory_dev,pvlib__pvlib-python-1707,pvlib/pvlib-python,dev,7,claude-haiku-4-5-20251001,0,154228,871784,402,12984,0.3985236000000001,50,49,24,11,0,0,12,0,0,0
og_memory_dev,pvlib__pvlib-python-1854,pvlib/pvlib-python,dev,10,claude-haiku-4-5-20251001,0,233668,986279,522,17298,0.6359370500000002,65,64,42,7,0,0,15,0,0,0
og_memory_dev,pydicom__pydicom-1139,pydicom/pydicom,dev,21,claude-haiku-4-5-20251001,0,163794,526443,314,10004,0.2812988999999999,39,38,29,2,0,0,7,0,0,0
og_memory_dev,pydicom__pydicom-1256,pydicom/pydicom,dev,22,claude-haiku-4-5-20251001,0,142295,423057,242,8157,0.22316154999999996,30,29,15,2,2,0,6,4,0,0
og_memory_dev,pydicom__pydicom-1413,pydicom/pydicom,dev,19,claude-haiku-4-5-20251001,1,285510,761031,514,15835,0.5906752,65,64,43,5,0,1,15,0,0,0
og_memory_dev,pydicom__pydicom-1694,pydicom/pydicom,dev,18,claude-haiku-4-5-20251001,0,184917,442451,298,11387,0.2541164,37,36,22,4,0,0,10,0,0,0
og_memory_dev,pydicom__pydicom-901,pydicom/pydicom,dev,20,claude-haiku-4-5-20251001,0,161792,319110,282,9704,0.2372876,35,34,19,4,0,0,6,4,1,0
og_memory_dev,pylint-dev__astroid-1196,pylint-dev/astroid,dev,14,claude-haiku-4-5-20251001,0,153147,279475,218,8258,0.1749564,27,26,10,3,0,0,7,6,0,0
og_memory_dev,pylint-dev__astroid-1268,pylint-dev/astroid,dev,16,claude-haiku-4-5-20251001,0,360687,823371,634,18852,0.7232806500000003,79,78,64,3,0,0,11,0,0,0
og_memory_dev,pylint-dev__astroid-1333,pylint-dev/astroid,dev,13,claude-haiku-4-5-20251001,0,394742,902678,586,19976,0.7040688000000003,73,72,54,2,0,0,16,0,0,0
og_memory_dev,pylint-dev__astroid-1866,pylint-dev/astroid,dev,15,claude-haiku-4-5-20251001,0,302676,497043,268,8566,0.2598894,33,31,22,2,0,0,6,0,0,0
og_memory_dev,pylint-dev__astroid-1978,pylint-dev/astroid,dev,12,claude-haiku-4-5-20251001,0,575035,904770,970,36775,1.16919785,121,120,81,18,0,0,17,0,4,0
og_memory_dev,pyvista__pyvista-4315,pyvista/pyvista,dev,17,claude-haiku-4-5-20251001,0,376381,2171833,594,23538,0.6203920999999999,74,73,51,3,0,1,13,0,0,0
og_memory_dev,sqlfluff__sqlfluff-1517,sqlfluff/sqlfluff,dev,3,claude-haiku-4-5-20251001,0,677758,1780339,1026,38875,1.2355564000000003,128,127,79,19,0,1,24,0,3,0
og_memory_dev,sqlfluff__sqlfluff-1733,sqlfluff/sqlfluff,dev,2,claude-haiku-4-5-20251001,0,952677,2326507,1130,65512,1.6379710500000002,141,140,95,26,0,0,17,0,1,0
og_memory_dev,sqlfluff__sqlfluff-1763,sqlfluff/sqlfluff,dev,4,claude-haiku-4-5-20251001,0,367150,1561192,626,19899,0.6396019500000001,78,77,52,5,0,0,16,4,0,0
og_memory_dev,sqlfluff__sqlfluff-2419,sqlfluff/sqlfluff,dev,1,claude-haiku-4-5-20251001,0,185554,905827,338,8342,0.29656135,42,41,17,1,0,0,18,0,1,0
og_memory_dev,sqlfluff__sqlfluff-1625,sqlfluff/sqlfluff,dev,0,claude-haiku-4-5-20251001,0,254575,1610086,450,15232,0.42465055000000007,56,55,40,4,0,0,8,0,0,0
og_memory_test,astropy__astropy-12907,astropy/astropy,test,0,claude-haiku-4-5-20251001,0,402845,1819277,714,27451,0.8278400499999999,89,88,59,8,0,2,15,0,0,0
og_memory_test,astropy__astropy-14182,astropy/astropy,test,1,claude-haiku-4-5-20251001,0,310250,873921,394,24985,0.5012696,49,48,31,5,0,0,11,0,0,0
og_memory_test,astropy__astropy-14365,astropy/astropy,test,2,claude-haiku-4-5-20251001,0,194872,355735,266,18900,0.34183829999999993,33,32,20,4,0,0,8,0,0,0
og_memory_test,astropy__astropy-14995,astropy/astropy,test,3,claude-haiku-4-5-20251001,0,251532,1265895,418,14434,0.4860101000000001,52,51,35,3,0,0,7,0,1,0
og_memory_test,astropy__astropy-6938,astropy/astropy,test,4,claude-haiku-4-5-20251001,0,297990,1194400,578,18123,0.58790335,72,71,41,11,0,0,19,0,0,0
og_memory_test,astropy__astropy-7746,astropy/astropy,test,5,claude-haiku-4-5-20251001,0,366293,1566843,714,23846,0.8331090999999999,89,88,54,11,0,0,18,0,0,0
og_memory_test,django__django-10914,django/django,test,6,claude-haiku-4-5-20251001,0,169908,429053,378,11544,0.32995435,47,46,34,2,0,0,10,0,0,0
og_memory_test,django__django-10924,django/django,test,7,claude-haiku-4-5-20251001,0,132357,994900,338,7045,0.22847540000000005,42,42,28,1,0,0,8,0,1,0
og_memory_test,django__django-11001,django/django,test,8,claude-haiku-4-5-20251001,0,213480,874239,362,12863,0.4419700999999999,45,44,29,3,0,0,12,0,0,0
