folder,instance_id,repo,split,lite_index,model,failed,api_ms,total_ms,input_tokens,output_tokens,total_cost_usd,num_turns,tool_calls_total,tool_Bash,tool_Edit,tool_Glob,tool_Grep,tool_Read,tool_TodoWrite,tool_Write,tool_bash
runs_clean_dev,sqlfluff__sqlfluff-2419,sqlfluff/sqlfluff,dev,1,claude-haiku-4-5-20251001,0,210642,385547,650,13449,0.48247605,81,80,67,1,0,0,11,0,1,0
runs_clean_dev,sqlfluff__sqlfluff-1733,sqlfluff/sqlfluff,dev,2,claude-haiku-4-5-20251001,0,813992,879163,1082,54963,1.61447365,135,134,106,8,0,0,19,0,1,0
runs_clean_dev,sqlfluff__sqlfluff-1517,sqlfluff/sqlfluff,dev,3,claude-haiku-4-5-20251001,0,766380,816849,1106,59905,1.8600783000000005,138,137,75,36,0,2,24,0,0,0
runs_clean_dev,sqlfluff__sqlfluff-1763,sqlfluff/sqlfluff,dev,4,claude-haiku-4-5-20251001,0,233024,269466,570,17346,0.5480745,71,70,48,5,0,0,17,0,0,0
runs_clean_dev,marshmallow-code__marshmallow-1359,marshmallow-code/marshmallow,dev,5,claude-haiku-4-5-20251001,0,158119,170410,394,11818,0.3347794499999999,49,48,29,2,0,0,13,4,0,0
runs_clean_dev,marshmallow-code__marshmallow-1343,marshmallow-code/marshmallow,dev,6,claude-haiku-4-5-20251001,0,166688,182609,426,12502,0.3704633999999999,53,52,34,5,0,1,12,0,0,0
runs_clean_dev,pvlib__pvlib-python-1707,pvlib/pvlib-python,dev,7,claude-haiku-4-5-20251001,0,196972,246529,394,18755,0.4318235,49,48,27,8,0,0,13,0,0,0
runs_clean_dev,pvlib__pvlib-python-1072,pvlib/pvlib-python,dev,8,claude-haiku-4-5-20251001,0,275828,315771,522,22254,0.5085196000000001,65,64,46,5,0,0,13,0,0,0
runs_clean_dev,pvlib__pvlib-python-1606,pvlib/pvlib-python,dev,9,claude-haiku-4-5-20251001,0,181302,198138,378,16391,0.3545854999999999,47,46,27,6,0,2,11,0,0,0
runs_clean_dev,pvlib__pvlib-python-1854,pvlib/pvlib-python,dev,10,claude-haiku-4-5-20251001,0,160604,198353,458,13469,0.44465584999999996,57,56,30,10,0,0,16,0,0,0
runs_clean_dev,pvlib__pvlib-python-1154,pvlib/pvlib-python,dev,11,claude-haiku-4-5-20251001,0,378422,444439,658,25756,0.6912159000000001,82,81,63,4,0,0,14,0,0,0
runs_clean_dev,pylint-dev__astroid-1978,pylint-dev/astroid,dev,12,claude-haiku-4-5-20251001,0,224091,250765,418,18259,0.40788255000000007,52,51,32,10,0,0,9,0,0,0
runs_clean_dev,pylint-dev__astroid-1333,pylint-dev/astroid,dev,13,claude-haiku-4-5-20251001,0,211778,253986,482,12929,0.4369303000000001,60,59,41,3,0,1,14,0,0,0
runs_clean_dev,pylint-dev__astroid-1196,pylint-dev/astroid,dev,14,claude-haiku-4-5-20251001,0,146146,165017,314,10977,0.25976015,39,38,22,6,0,0,10,0,0,0
runs_clean_dev,pylint-dev__astroid-1866,pylint-dev/astroid,dev,15,claude-haiku-4-5-20251001,0,154938,172963,306,12786,0.273916,38,37,29,3,0,0,5,0,0,0
runs_clean_dev,pylint-dev__astroid-1268,pylint-dev/astroid,dev,16,claude-haiku-4-5-20251001,0,150342,181702,354,9991,0.35861945,44,43,34,2,0,0,7,0,0,0
runs_clean_dev,pyvista__pyvista-4315,pyvista/pyvista,dev,17,claude-haiku-4-5-20251001,0,269587,447576,522,20811,0.5355737,65,64,47,4,0,0,13,0,0,0
runs_clean_dev,pydicom__pydicom-1694,pydicom/pydicom,dev,18,claude-haiku-4-5-20251001,0,153482,165233,322,12127,0.28300210000000003,40,39,27,2,0,3,7,0,0,0
runs_clean_dev,pydicom__pydicom-1413,pydicom/pydicom,dev,19,claude-haiku-4-5-20251001,0,326588,352010,698,19194,0.8161218000000003,87,86,66,4,0,0,16,0,0,0
runs_clean_dev,pydicom__pydicom-901,pydicom/pydicom,dev,20,claude-haiku-4-5-20251001,0,111083,118007,290,8556,0.2175174,36,35,25,4,0,0,5,0,1,0
runs_clean_dev,pydicom__pydicom-1139,pydicom/pydicom,dev,21,claude-haiku-4-5-20251001,0,123483,137250,338,10630,0.30702885,42,41,30,2,0,3,6,0,0,0
runs_clean_dev,pydicom__pydicom-1256,pydicom/pydicom,dev,22,claude-haiku-4-5-20251001,0,111756,122157,266,8416,0.22334810000000002,33,32,19,2,0,0,11,0,0,0
runs,astropy__astropy-12907,astropy/astropy,test,0,claude-haiku-4-5-20251001,0,304685,333177,618,25666,0.6073292000000001,77,76,54,3,0,0,9,0,10,0
runs,sqlfluff__sqlfluff-1625,sqlfluff/sqlfluff,dev,0,claude-haiku-4-5-20251001,0,204123,237277,322,12402,0.29186520000000005,40,39,27,3,0,0,9,0,0,0
runs,astropy__astropy-14182,astropy/astropy,test,1,claude-haiku-4-5-20251001,0,445723,590482,754,32237,0.9944052999999999,94,93,54,13,4,1,19,0,2,0
runs,astropy__astropy-14365,astropy/astropy,test,2,claude-haiku-4-5-20251001,0,303415,326207,490,23835,0.5819767,61,60,44,5,0,0,11,0,0,0
runs,astropy__astropy-14995,astropy/astropy,test,3,claude-haiku-4-5-20251001,0,217181,255173,386,12864,0.37605590000000005,48,47,31,3,0,0,9,4,0,0
runs,astropy__astropy-6938,astropy/astropy,test,4,claude-haiku-4-5-20251001,0,301080,315286,554,21427,0.51704355,69,68,35,9,0,0,20,0,4,0
runs,astropy__astropy-7746,astropy/astropy,test,5,claude-haiku-4-5-20251001,0,442747,529985,890,27469,0.9747175500000003,111,110,65,18,0,0,27,0,0,0
runs,django__django-10914,django/django,test,6,claude-haiku-4-5-20251001,0,273188,321314,554,17576,0.49194635,69,68,43,11,0,0,14,0,0,0
runs,django__django-10924,django/django,test,7,claude-haiku-4-5-20251001,0,248096,289545,674,16203,0.5741679500000001,84,83,66,3,0,0,13,0,1,0
runs,django__django-11001,django/django,test,8,claude-haiku-4-5-20251001,0,412135,454154,754,25677,0.8108315500000005,94,93,71,11,0,0,11,0,0,0
runs,django__django-11019,django/django,test,9,claude-haiku-4-5-20251001,0,486079,507252,522,51970,0.83717745,65,64,46,8,0,0,9,0,0,1
runs,django__django-11039,django/django,test,10,claude-haiku-4-5-20251001,0,342649,386394,754,19357,0.7025975499999999,94,93,67,6,0,0,20,0,0,0
